"","id","submitdate","lastpage","startlanguage","seed","G01Q05","gender","G01Q07","G01Q10","Gleichunggendercase","Gleichung","C10O1[SQ001]","C10O1[SQ002]","C10O1[SQ003]","C10O1[SQ004]","C10O1[SQ010]","C10O1[SQ005]","C10O1[SQ006]","C10O1[SQ009]","C10O1[SQ007]","C10O1[SQ008]","C11O0prox[SQ001]","C11O0prox[SQ002]","C11O0prox[SQ003]","C11O0prox[SQ004]","C11O0prox[SQ010]","C11O0prox[SQ005]","C11O0prox[SQ006]","C11O0prox[SQ009]","C11O0prox[SQ007]","C11O0prox[SQ008]","C11O1prox[SQ001]","C11O1prox[SQ002]","C11O1prox[SQ003]","C11O1prox[SQ004]","C11O1prox[SQ010]","C11O1prox[SQ005]","C11O1prox[SQ006]","C11O1prox[SQ009]","C11O1prox[SQ007]","C11O1prox[SQ008]","C10O0prox[SQ001]","C10O0prox[SQ002]","C10O0prox[SQ003]","C10O0prox[SQ004]","C10O0prox[SQ010]","C10O0prox[SQ005]","C10O0prox[SQ006]","C10O0prox[SQ009]","C10O0prox[SQ007]","C10O0prox[SQ008]","Comment","G02Q09","interviewtime","groupTime101781","G01Q05Time","genderTime","G01Q07Time","G01Q10Time","GleichunggendercaseTime","groupTime101782","GleichungTime","C10O1Time","C11O0proxTime","C11O1proxTime","C10O0proxTime","groupTime103113","CommentTime","groupTime101783","G02Q09Time"
"1",1,1980-01-01,4,"de",1198565432,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","A4","A1","A4","A5","A1","A2","A5","A1","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ich kann nicht einschätzen, ob sie denkt, dass Verbrechen hart bestraft werden sollten.","A1",459.65,21.8,NA,NA,NA,NA,NA,273.07,NA,NA,NA,NA,NA,84.85,NA,79.93,NA
"2",6,1980-01-01,4,"de",1515338846,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A2","A5","A1","A1","A5","A4","A5","A2","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",121.87,9.52,NA,NA,NA,NA,NA,103.38,NA,NA,NA,NA,NA,4.82,NA,4.15,NA
"3",7,1980-01-01,4,"de",1508137852,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A2","A4","A3","A2","A3","A4","A3","A4","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",207.61,12.37,NA,NA,NA,NA,NA,176.91,NA,NA,NA,NA,NA,5.84,NA,12.49,NA
"4",8,1980-01-01,4,"de",2037794815,NA,NA,NA,NA,NA,1,"A3","A3","A1","A4","A5","A4","A3","A2","A4","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",152.61,10.51,NA,NA,NA,NA,NA,131.86,NA,NA,NA,NA,NA,4.62,NA,5.62,NA
"5",10,1980-01-01,4,"de",1490303304,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","A5","A1","A4","A5","A4","A1","A5","A2","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",242.55,52.68,NA,NA,NA,NA,NA,177.89,NA,NA,NA,NA,NA,7.24,NA,4.74,NA
"6",11,1980-01-01,4,"de",1478690151,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A3","A2","A4","A2","A4","A3","A2","A4","A3","die erste Aufgabe sagt es folgen 4 Aussagen, es stehen aber nur 3 da","A1",204.51,11.66,NA,NA,NA,NA,NA,155.83,NA,NA,NA,NA,NA,28.3,NA,8.72,NA
"7",12,1980-01-01,4,"de",1298294597,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A3","A2","A2","A1","A3","A4","A4","A2","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",113.49,9.37,NA,NA,NA,NA,NA,88.93,NA,NA,NA,NA,NA,8.13,NA,7.06,NA
"8",13,1980-01-01,4,"de",165842290,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","A4","A1","A4","A5","A2","A3","A5","A1","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",134.18,8.03,NA,NA,NA,NA,NA,114.92,NA,NA,NA,NA,NA,5.08,NA,6.15,NA
"9",15,1980-01-01,4,"de",503120738,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A2","A4","A1","A2","A4","A4","A2","A3","A4",NA,"A1",264.47,19.06,NA,NA,NA,NA,NA,230.96,NA,NA,NA,NA,NA,3.97,NA,10.48,NA
"10",16,1980-01-01,4,"de",1124320003,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A3","A4","A1","A1","A4","A4","A5","A2","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",203.57,90.89,NA,NA,NA,NA,NA,100.2,NA,NA,NA,NA,NA,4.56,NA,7.92,NA
